ID,Title of the publication,Author full names,Source title,doi,Year,Applications category,Name/s of the crop,Scientific name/s
295,Comparison between chocolate and an analog product made from Copoazú (Theobroma grandiflorum),Cucaita N.A.; Hernández M.S.; Gutiérrez R.H.,Acta Horticulturae,10.17660/ActaHortic.2014.1047.28,2014,Food and nutrition,Copoazú ,Theobroma grandiflorum
296,Blackberry (Rubus fruticosus L.) and raspberry (Rubus idaeus L.) seed oils extracted from dried press pomace after longterm frozen storage of berries can be used as functional food ingredients,Rado?aj O.; Vujasinovi? V.; Dimi? E.; Basi? Z.,European Journal of Lipid Science and Technology,10.1002/ejlt.201400014,2014,Food and nutrition,"Blackberry , raspberry ","Rubus fruticosus L.,  Rubus idaeus L."
297,Little used and neglected species from American tropics: Value chains alternatives,Hernández M.S.,Acta Horticulturae,10.17660/ActaHortic.2014.1047.34,2014,Food and nutrition,Quinoa,Chenopodium quinoa
298,Intraspecific variability in agro-morphological traits of African yam bean Sphenostylis stenocarpa (Hochst ex. A. Rich) harms,Ojuederie O.B.; Balogun M.O.; Akande S.R.; Korie S.; Omodele T.,Journal of Crop Science and Biotechnology,10.1007/s12892-014-0109-y,2015,Food and nutrition,African yam bean,Sphenostylis stenocarpa
299,Chemical composition and characteristic profiles of seed oils from three Tunisian Acacia species,Jelassi A.; Cheraief I.; Hamza M.A.; Jannet H.B.,Journal of Food Composition and Analysis,10.1016/j.jfca.2013.11.001,2014,Food and nutrition,Tunisian acacia ,"Acacia cyclops, Acacia cyanophylla and Acacia mollissima"
300,Quinoa Breeding,Gomez-Pando L.,Quinoa: Improvement and Sustainable Production,10.1002/9781118628041.ch6,2015,Food and nutrition,Quinoa,
301,Seed quality characteristics of a bambara groundnut (Vigna subterranea L.) landrace differing in seed coat colour,Chibarabada T.P.; Modi A.T.; Mabhaudhi T.,South African Journal of Plant and Soil,10.1080/02571862.2014.966340,2014,Food and nutrition,Bambara groundnut,Vigna subterranea L
302,Conformational study of kiwi fruit (Actinidia chinensis Planch.) seed protein isolates by fluorescence spectroscopy,Yang H.; Hu M.; Fan D.; Zhang J.; Deng J.; Zhang R.,Asian Journal of Chemistry,10.14233/ajchem.2014.16417,2014,Food and nutrition,Kiwi fruit ,Actinidia chinensis Planch.
303,Influence of different processing parameters on the isolation of Lupin (Lupinus Angustifolius L.) protein isolates: A preliminary study,Sussmann D.; Pickardt C.; Schweiggert U.; Eisner P.,Journal of Food Process Engineering,10.1111/j.1745-4530.2011.00647.x,2013,Food and nutrition,Lupin,Lupinus angustifolius L.
304,Socio-economic and horticultural potential of Khirni [Manilkara hexandra (Roxb.) Dubard]: A promising underutilized fruit species of India,Malik S.K.; Choudhary R.; Kumar S.; Dhariwal O.P.; Deswal R.P.S.; Chaudhury R.,Genetic Resources and Crop Evolution,10.1007/s10722-012-9863-1,2012,Food and nutrition,Dubard (khirni),Manilkara hexandra
305,Determination of amino acid contents of manketti seeds (Schinziophyton rautanenii) by pre-column derivatisation with 6-aminoquinolyl- Nhydroxysuccinimidyl carbamate and RP-HPLC,Gwatidzo L.; Botha B.M.; McCrindle R.I.,Food Chemistry,10.1016/j.foodchem.2013.04.101,2013,Food and nutrition,Manketti,Schinziophyton rautanenii
306,Challenges for under-utilized crops illustrated by ricebean (Vigna umbellata) in India and Nepal,Andersen P.,International Journal of Agricultural Sustainability,10.1080/14735903.2012.674401,2012,Food and nutrition,Ricebean,Vigna umbellata
307,Moringa oleifera L. - An underutilized tree with macronutrients for human health,Melo V.; Vargas N.; Quirino T.; Calvo C.M.C.,Emirates Journal of Food and Agriculture,10.9755/ejfa.v25i10.17003,2013,Food and nutrition,Moringa,Moringa oleifera Lam
308,Strategic approaches for research and promotion of underutilized vegetable crops for food security in Central Asia and the Caucasus,Mavlyanova R.,Acta Horticulturae,10.17660/actahortic.2013.979.58,2013,Food and nutrition,Caucasus,
309,"Total phenolic content, in vitro antioxidant activity and type II diabetes relevant enzyme inhibition properties of methanolic extract of traditionally processed underutilized food legume, Acacia nilotica (L.) Willd ex. Delile",Vadivel V.; Biesalski H.K.,International Food Research Journal,,2012,Food and nutrition,Black thorn tree,Acacia nilotica (L.) Willd ex. Delile 
310,"Nutrients and functional properties of horse gram (Macrotyloma uniflorum), an underutilized south Indian food legume",Marimuthu M.; Krishnamoorthi K.,Journal of Chemical and Pharmaceutical Research,,2013,Food and nutrition,Horse gram s,Macrotyloma uniflorum
311,The free radical scavenging and antioxidant activities of pod and seed extract of Clitoria fairchildiana (Howard)- An underutilized legume,Annegowda H.V.; Bhat R.; Tze L.M.; Karim A.A.; Mansor S.M.,Journal of Food Science and Technology,10.1007/s13197-011-0370-8,2013,Food and nutrition,Howard,Clitoria fairchildiana
312,"Physicochemical and functional properties of starches from Indian Jack bean (Canavalia ensiformis), an underutilized wild food legume",Marimuthu M.; Gurumoorthi P.,Journal of Chemical and Pharmaceutical Research,,2013,Food and nutrition,Jack bean,Canavalia ensiformis
313,Potential of Bambara Groundnut (Vigna subterranea (L.) Verdc) Milk as a Probiotic Beverage-A Review,Murevanhema Y.Y.; Jideani V.A.,Critical Reviews in Food Science and Nutrition,10.1080/10408398.2011.574803,2013,Food and nutrition,Bambara groundnut,Vigna subterraenea (L.) verdc
314,"Proximate composition and nutritional evaluation of underutilized legume Psophocarpus tetragonolobus (L.) DC. grown in Manipur, Northeast India",Ningombam R.D.; Singh P.K.; Salam J.S.,American Journal of Food Technology,10.3923/ajft.2012.487.493,2012,Food and nutrition,Winged bean,Psophocarpus tetragonolobus (L.)
315,Dietary antioxidant activities in different germplasms of Mucuna,Uma S.; Gurumoorthi P.,Journal of Medicinal Food,10.1089/jmf.2012.2697,2013,Food and nutrition,,Mucuna pruriens
316,Assessment of nutritional and antinutritional potential of underutilized legumes of the genus Mucuna,Tresina P.S.; Mohan V.R.,Tropical and Subtropical Agroecosystems,,2013,Food and nutrition,Mucuna ,Mucuna deeringiana; Mucuna pruriens; Mucuna pruriens var. utilis
317,Nutritional constituents and antioxidant properties of indigenous kembayau (Dacryodes rostrata (Blume) H. J. Lam) fruits,Kong K.W.; Chew L.Y.; Prasad K.N.; Lau C.Y.; Ismail A.; Sun J.; Hosseinpoursarmadi B.,Food Research International,10.1016/j.foodres.2010.10.039,2011,Food and nutrition,Kembayau,Dacryodes rostrata
318,Some phytochemical properties and effect of fermentation on the seed of Jatropha curcas L,Oseni O.A.; Akindahunsi A.A.,American Journal of Food Technology,10.3923/ajft.2011.158.165,2011,Food and nutrition,"Lapalapa, Barbados nut or Physic nut",Jatropha curcas L.
319,Thin Layer Drying of African Breadfruit (Treculia africana) Seeds: Modeling and Rehydration Capacity,Shittu T.A.; Raji A.O.,Food and Bioprocess Technology,10.1007/s11947-008-0161-z,2011,Food and nutrition,African breadfruit,Treculia africana
320,"Comparative assessment on the nutritional and antinutritional attributes of the underutilized legumes, Canavalia gladiata (JACQ.) DC, Erythrina indica lam. and Abrus precatorius L.",Tresina P.S.; Mohan V.R.,Tropical and Subtropical Agroecosystems,,2012,Food and nutrition,,"Canavalia gladiata, Erythrina indica and Abrus precatorius"
321,Contribution of phenolic compounds to the antioxidant potential and type II diabetes related enzyme inhibition properties of Pongamia pinnata L. Pierre seeds,Vadivel V.; Biesalski H.K.,Process Biochemistry,10.1016/j.procbio.2011.07.007,2011,Food and nutrition,Karanja,Pongamia pinnata L. Pierre
322,Genetic variability studies in barhal (Artocarpus lakoocha Roxb.) in central Uttar Pradesh,Dwivedi D.H.; Mishra V.; Singh N.; Dwivedi S.K.,Acta Horticulturae,10.17660/ActaHortic.2011.918.53,2011,Food and nutrition,Barhal,Artocarpus lakoocha Roxb.
323,Brazil cherry (Eugenia dombeyi) - An underutilized fruit species of the American tropics; [Le cerisier du Brésil (Eugenia dombeyi) - Une espèce fruitière sous-utilisée de l'Amérique tropicale],Ebert A.W.; Ebert I.C.M.,Fruits,10.1051/fruits/2011028,2011,Food and nutrition,Brazil cherry or grumicham,Eugenia dombeyi
324,Kersting's Nut (Kerstingiella Geocarpa): A Source of Food and Medicine,Oyetayo F.L.; Ajayi O.B.,Nuts and Seeds in Health and Disease Prevention,10.1016/B978-0-12-375688-6.10081-7,2011,Food and nutrition,Kersting's nut,Kerstingiella geocarpa
325,"Nutritional and morphological diversity of breadfruit (Artocarpus, Moraceae): Identification of elite cultivars for food security",Jones A.M.P.; Ragone D.; Aiona K.; Lane W.A.; Murch S.J.,Journal of Food Composition and Analysis,10.1016/j.jfca.2011.04.002,2011,Food and nutrition,Breadfruit ,Artocarpus altilis
326,Comparative study of amino acid and proximate composition of Citurllus colocynthis and Citrullus vulgaris seeds,Ogundele J.O.; Oshodi A.A.; Amoo I.A.,Pakistan Journal of Nutrition,10.3923/pjn.2012.247.251,2012,Food and nutrition,,Citrullus colocynthis
327,Heat-stable and heat-labile antinutritional profile in Mucuna pruriens var utilis: Effected by germination,Gurumoorthi P.; Uma S.,International Food Research Journal,,2011,Food and nutrition,Velvet bean,Mucuna pruriens
328,Nutritional and functional characteristics of gingerbread plum (Neocarya macrophylla): An underutilized oilseed,Amza T.; Amadou I.; Kamara M.T.; Zhu K.X.; Zhou H.M.,Grasas y Aceites,10.3989/gya.089910,2011,Food and nutrition,Gingerbread plum ,Neocarya macrophylla)
329,Effect of extraction and isolation on physicochemical and functional properties of an underutilized seed protein: Gingerbread plum (Neocarya macrophylla),Amza T.; Amadou I.; Zhu K.; Zhou H.,Food Research International,10.1016/j.foodres.2011.06.029,2011,Food and nutrition,Gingerbread plum ,Neocarya macrophylla
330,Levels of anti-oxidants in different parts of moringa (Moringa oleifera) seedling,Tesfay S.Z.; Bertling I.; Odindo A.O.; Seyoum Workneh T.; Mathaba N.,African Journal of Agricultural Research,,2011,Food and nutrition,Moringa ,Moringa oleifera
331,Antioxidant Potential and Health Relevant Functionality of Traditionally Processed Cassia hirsuta L. Seeds: An Indian Underutilized Food Legume,Vadivel V.; Nandety A.; Biesalski H.K.,Plant Foods for Human Nutrition,10.1007/s11130-011-0237-1,2011,Food and nutrition,,Cassia hirsuta L.
332,"Antioxidant and free radical scavenging capacity of the underutilized legume, Vigna vexillata (L.) A. Rich",Sowndhararajan K.; Siddhuraju P.; Manian S.,Journal of Food Composition and Analysis,10.1016/j.jfca.2010.09.016,2011,Food and nutrition,,Vigna vexillata (L.)
333,"Antioxidant and type II diabetes related enzyme inhibition properties of methanolic extract of an underutilized food legume, Canavalia ensiformis (L.) DC: Effect of traditional processing methods",Vadivel V.; Cheong J.N.; Biesalski H.K.,LWT,10.1016/j.lwt.2012.01.014,2012,Food and nutrition,Jack bean,Canavalia ensiformis
334,"Effect of dehulling/soaking on the chemical, functional and anti-nutritional contents of three varieties of beans",Abiodun O.A.; Adeleke R.O.,Nutrition and Food Science,10.1108/00346651111117382,2011,Food and nutrition,"Pigeon pea, Raw African yam beans",
335,Pros and cons of japanese quince (chaenomeles japonica) - An underutilized pome fruit,Rumpunen K.,Acta Horticulturae,10.17660/ActaHortic.2011.918.117,2011,Food and nutrition,Japanese quince,chaenomeles japonica
336,Optimization of the extraction of total phenolic compounds from sunflower meal and evaluation of the bioactivities of chosen extracts,Taha F.S.; Mohamed G.F.; Mohamed S.H.; Mohamed S.S.; Kamil M.M.,American Journal of Food Technology,10.3923/ajft.2011.1002.1020,2011,Food and nutrition,Sunflower,
337,Chemical composition of marama bean (Tylosema esculentum)-A wild African bean with unexploited potential,Holse M.; Husted Sø.; Hansen Å.,Journal of Food Composition and Analysis,10.1016/j.jfca.2010.03.006,2010,Food and nutrition,Marama bean,Tylosema esculentum
338,Genetic improvement of sweet chestnut in Sicily (Castanea sativa Mill.) by the selection of superior autochthonous genotypes,Cutino I.; Marchese A.; Marra F.P.; Caruso T.,Acta Horticulturae,10.17660/ActaHortic.2010.866.20,2010,Food and nutrition,Sweet chestnu,Castanea sativa Mill.
339,Availability of organic nutrient sources and their effects on yield and nutrient recovery of tef [Eragrostis tef (Zucc.) Trotter] and on soil properties,Tulema B.; Aune J.B.; Breland T.A.,Journal of Plant Nutrition and Soil Science,10.1002/jpln.200521781,2007,Food and nutrition,Tef ,Eragrostis tef (Zucc.) Trotter
340,"In vitro evaluation of the antioxidant activities in the differentially processed seeds from underutilized legume, Bauhinia vahlii Wight & Arn",Sowndhararajan K.; Siddhuraju P.; Manian S.,Food Science and Biotechnology,10.1007/s10068-010-0070-6,2010,Food and nutrition,,Bauhinia vahlii
341,"Circadian leaflet movements of Tylosema esculentum (Burch) A. Schreib, and the abolishment of these diurnal movements by potassium deficiency",Travlos I.S.; Liakopoulos G.; Karabourniotis G.; Fasseas C.; Karamanos A.J.,Journal of Arid Environments,10.1016/j.jaridenv.2008.03.020,2008,Food and nutrition,Burch,Tylosema esculentum
342,Use of ISSR markers to assess genetic diversity of African edible seeded Citrullus lanatus landraces,Djè Y.; Tahi C.G.; Bi A.I.Z.; Baudoin J.-P.; Bertin P.,Scientia Horticulturae,10.1016/j.scienta.2009.12.020,2010,Food and nutrition,"Egusi"" or ""pistachio",Citrullus lanatus
343,Chemical and proximate composition of (Zizyphus spina?christi) nabag fruit,Osman M.A.; Asif Ahmed M.,Nutrition & Food Science,10.1108/00346650910930842,2009,Food and nutrition,Nabag fruit,Zizyphus spina?christi
344,Recovery and characterization of the chestnut germplasm on the western slopes of the Aspromonte in southern Calabria,Mafrica R.; Pellegrino P.; Marra F.P.,Acta Horticulturae,10.17660/ActaHortic.2010.866.22,2010,Food and nutrition,Chestnut ,Castanea sativa
345,Assessment of genotype x environment interaction in rice bean (Vigna umbellata) under Indian plains,Raiger H.L.; Dua R.P.; Phogat B.S.; Mishra S.K.,Indian Journal of Agricultural Sciences,,2008,Food and nutrition,Lepidium sativum L,Vigna umbellata
346,Effect of soaking in sodium bicarbonate solution followed by autoclaving on the nutritional and antinutritional properties of velvet bean seeds,Vadivel V.; Pugalenthi M.,Journal of Food Processing and Preservation,10.1111/j.1745-4549.2008.00237.x,2009,Food and nutrition,Velvet bean,Mucuna pruriens
347,"Tamarind seed: Properties, processing and utilization",Kumar C.S.; Bhattacharya S.,Critical Reviews in Food Science and Nutrition,10.1080/10408390600948600,2008,Food and nutrition,Tamarind,
348,Indigofera glandulosa Wendl. (Barbada) a potential source of nutritious food: Underutilized and neglected legume in India,Ghane S.G.; Lokhande V.H.; Ahire M.L.; Nikam T.D.,Genetic Resources and Crop Evolution,10.1007/s10722-009-9496-1,2010,Food and nutrition,Barbada,Indigofera glandulosa Wend
349,Physiological quality of seeds of promising african yam bean (sphenostylis stenocarpa (hochst. ex a. rich) harms) and pigeon pea (cajanus cajan l. Mill sp.) land races,Olisa B.S.; Ajayi S.A.; Akande S.R.,Research Journal of Seed Science,10.3923/rjss.2010.93.101,2010,Food and nutrition,"Pigeon pea, Raw African yam beans","cajanus cajan l. Mill sp,sphenostylis stenocarpa (hochst. ex a. rich) harms"
350,Influence of steaming treatment on chemical and technological characteristics of einkorn (Triticum monococcum L. ssp. monococcum) wholemeal flour,Hidalgo A.; Brandolini A.; Gazza L.,Food Chemistry,10.1016/j.foodchem.2008.04.017,2008,Food and nutrition,Einkorn,Triticum monococcum ssp. monococcum
351,Proximal composition and in vitro digestibility of starch in lima bean (Phaseolus lunatus) varieties,Bello-Pérez L.A.; Sáyago-Ayerdi S.G.; Chávez-Murillo C.E.; Agama-Acevedo E.; Tovar J.,Journal of the Science of Food and Agriculture,10.1002/jsfa.3005,2007,Food and nutrition,"Comba floja, comba violenta, comba blanca",Phaseolus lunatus
352,Molecular characterization and evaluation of carob germplasm,Caruso M.; La Malfa S.; La Rosa G.; Gentile A.; Tribulato E.; Frutos Tomás D.,Acta Horticulturae,10.17660/ActaHortic.2009.818.12,2009,Food and nutrition,Carob,Ceratonia siliqua L
353,"Physicochemical and functional properties of ten cultivars of seem (lablab purpureus l.), an underexploited bean in Bangladesh",Mortuza G.; Tzena J.T.C.,Journal of the Science of Food and Agriculture,10.1002/jsfa.3583,2009,Food and nutrition,Bean,lablab purpureus l.
354,Evaluation of some chemical and physicochemical properties of meals from pretreated tigernut seeds (Cyperus esculentus),Ade-Omowaye B.I.O.; Adegbite A.M.; Adetunji B.R.; Oladunmoye O.O.,Nutrition and Food Science,10.1108/00346650910943244,2009,Food and nutrition,Tigernut,Cyperus esculentu
